store_id	正式店名	店名かな	別名・旧名	施設区分	大ジャンル	小ジャンル	都道府県	市区町村	住所	緯度	経度	最寄駅・交通	電話番号	公式URL	食べログURL	GoogleマップURL	営業状態	予約区分	昼予算	夜予算	最終確認日	確認状態	備考
FOD-1139	南印度ダイニング ポンディバワン 武蔵新田			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 武蔵新田駅			https://tabelog.com/tokyo/A1317/A131716/13105113/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13105113 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1140	スープカレー屋 鴻 神田駿河台店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神保町駅			https://tabelog.com/tokyo/A1310/A131003/13040204/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13040204 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1141	ハリマ・ケバブ・ビリヤニ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 稲荷町駅			https://tabelog.com/tokyo/A1311/A131101/13168753/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13168753 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1142	かえる食堂			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 要町駅			https://tabelog.com/tokyo/A1322/A132202/13030312/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13030312 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1143	カレー&オリエンタルバル 桃の実 水道橋店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 水道橋駅			https://tabelog.com/tokyo/A1310/A131003/13204150/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13204150 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1144	メーヤウ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 信濃町駅			https://tabelog.com/tokyo/A1309/A130901/13000930/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000930 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1145	新川デリー			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 八丁堀駅			https://tabelog.com/tokyo/A1302/A130203/13000644/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000644 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1146	タイカリーピキヌー			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 駒沢大学駅			https://tabelog.com/tokyo/A1317/A131707/13001446/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13001446 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1147	MOKUBAZA			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 北参道駅			https://tabelog.com/tokyo/A1309/A130901/13154685/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13154685 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1148	シターラ 青山店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 表参道駅			https://tabelog.com/tokyo/A1306/A130602/13009705/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13009705 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
