listing_id	category_slug	genre	region	category_ordinal	listed_name	prefecture	area_text	tabelog_url	tabelog_id	source_url	category_official_count
HYK2020-0052	bread_tokyo	パン	TOKYO	52	ラ ブティック ドゥ ジョエル・ロブション 六本木ヒルズ店	東京都	東京都 六本木駅	https://tabelog.com/tokyo/A1307/A130701/13020237/	13020237	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0053	bread_tokyo	パン	TOKYO	53	365日	東京都	東京都 代々木公園駅	https://tabelog.com/tokyo/A1318/A131810/13164031/	13164031	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0054	bread_tokyo	パン	TOKYO	54	プルクル	東京都	東京都 代々木駅	https://tabelog.com/tokyo/A1304/A130403/13133746/	13133746	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0055	bread_tokyo	パン	TOKYO	55	ブレッド&タパス 沢村 広尾	東京都	東京都 広尾駅	https://tabelog.com/tokyo/A1307/A130703/13128350/	13128350	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0056	bread_tokyo	パン	TOKYO	56	ブランジュリー パリの空の下	東京都	東京都 若林駅	https://tabelog.com/tokyo/A1317/A131709/13100024/	13100024	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0057	bread_tokyo	パン	TOKYO	57	ラ ブティック ドゥ ジョエル・ロブション 丸の内ブリックスクエア店	東京都	東京都 二重橋前駅	https://tabelog.com/tokyo/A1302/A130201/13096409/	13096409	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0058	bread_tokyo	パン	TOKYO	58	パン・デ・フィロゾフ	東京都	東京都 神楽坂駅	https://tabelog.com/tokyo/A1309/A130905/13213156/	13213156	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0059	bread_tokyo	パン	TOKYO	59	メゾン・イチ 西馬込店	東京都	東京都 西馬込駅	https://tabelog.com/tokyo/A1317/A131713/13048505/	13048505	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0060	bread_tokyo	パン	TOKYO	60	ぶーる・ぶーる・ぶらんじぇり	東京都	東京都 八王子駅	https://tabelog.com/tokyo/A1329/A132904/13048885/	13048885	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0061	bread_tokyo	パン	TOKYO	61	ザ・シティ・ベーカリー 品川	東京都	東京都 品川駅	https://tabelog.com/tokyo/A1314/A131403/13162267/	13162267	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0062	bread_tokyo	パン	TOKYO	62	ヴァン ドゥ リュド 尾山台店	東京都	東京都 尾山台駅	https://tabelog.com/tokyo/A1317/A131715/13140110/	13140110	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0063	bread_tokyo	パン	TOKYO	63	カイソ	東京都	東京都 世田谷代田駅	https://tabelog.com/tokyo/A1318/A131812/13129587/	13129587	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0064	bread_tokyo	パン	TOKYO	64	粉花	東京都	東京都 浅草（つくばＥＸＰ）駅	https://tabelog.com/tokyo/A1311/A131102/13057726/	13057726	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0065	bread_tokyo	パン	TOKYO	65	ル・グルニエ・ア・パン	東京都	東京都 半蔵門駅	https://tabelog.com/tokyo/A1308/A130803/13011374/	13011374	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0066	bread_tokyo	パン	TOKYO	66	breadworks エキュート品川	東京都	東京都 品川駅	https://tabelog.com/tokyo/A1314/A131403/13155677/	13155677	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0067	bread_tokyo	パン	TOKYO	67	パネッテリア・アリエッタ 五反田本店	東京都	東京都 五反田駅	https://tabelog.com/tokyo/A1316/A131603/13019888/	13019888	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
